Season,Team,Position,Player,Injury Type,Cap Hit,Chip,Games Missed
2009/10,Anaheim,F,"Calder, Kyle",Eye,$0.500m,$37k,6
2009/10,Anaheim,F,"Carter, Ryan",Foot,$0.625m,$23k,3
2009/10,Anaheim,F,"Carter, Ryan",Foot,$0.625m,$168k,22
2009/10,Anaheim,F,"Getzlaf, Ryan",Ankle,$5.325m,$65k,1
2009/10,Anaheim,F,"Getzlaf, Ryan",Ankle,$5.325m,$130k,2
2009/10,Anaheim,F,"Getzlaf, Ryan",Ankle,$5.325m,$584k,9
2009/10,Anaheim,F,"Getzlaf, Ryan",Leg,$5.325m,$260k,4
2009/10,Anaheim,F,"Koivu, Saku",Groin,$3.250m,$198k,5
2009/10,Anaheim,F,"Koivu, Saku",Knee,$3.250m,$159k,4
2009/10,Anaheim,F,"Lupul, Joffrey",Back,$4.250m,$363k,7
2009/10,Anaheim,F,"Lupul, Joffrey",Back,$4.250m,"$2,695k",52
2009/10,Anaheim,F,"Nokelainen, Petteri",Abdominal,$0.850m,$31k,3
2009/10,Anaheim,F,"Parros, George",Head,$0.875m,$21k,2
2009/10,Anaheim,F,"Ryan, Bobby",Flu,$1.922m,$23k,1
2009/10,Anaheim,F,"Selanne, Teemu",Flu,$2.625m,$32k,1
2009/10,Anaheim,F,"Selanne, Teemu",Hand,$2.625m,$544k,17
2009/10,Anaheim,F,"Selanne, Teemu",Jaw,$2.625m,$256k,8
2009/10,Anaheim,D,"Eminger, Steve",Back,$1.125m,$14k,1
2009/10,Anaheim,D,"Eminger, Steve",Flu,$1.125m,$41k,3
2009/10,Anaheim,D,"Visnovsky, Lubomir",Hand,$5.600m,$205k,3
2009/10,Anaheim,D,"Ward, Aaron",Foot,$2.500m,$30k,1
2009/10,Anaheim,D,"Wisniewski, James",Shoulder,$2.750m,$101k,3
2009/10,Anaheim,G,"Giguere, Jean-Sebastien",Groin,$6.000m,$439k,6
2009/10,Anaheim,G,"Hiller, Jonas",Back,$1.300m,$63k,4
2009/10,Arizona,F,"Fiddler, Vernon",Lower body,$1.100m,$40k,6
2009/10,Arizona,F,"Hanzal, Martin",Lower body,$0.980m,$12k,1
2009/10,Arizona,F,"Lang, Robert",Lower body,$1.000m,$207k,17
2009/10,Arizona,F,"Lang, Robert",Undisclosed,$1.000m,$12k,1
2009/10,Arizona,F,"Lombardi, Matthew",Lower body,$1.817m,$22k,1
2009/10,Arizona,F,"Lombardi, Matthew",Lower body,$1.817m,$66k,3
2009/10,Arizona,F,"Mueller, Peter",Upper body,$1.700m,$62k,3
2009/10,Arizona,F,"Perrault, Joel",Upper body,$0.588m,$22k,3
2009/10,Arizona,F,"Pyatt, Taylor",Lower body,$0.600m,$37k,5
2009/10,Arizona,F,"Upshall, Scottie",Knee,$1.500m,$512k,28
2009/10,Arizona,F,"Upshall, Scottie",Lower body,$1.500m,$18k,1
2009/10,Arizona,F,"Upshall, Scottie",Upper body,$1.500m,$55k,3
2009/10,Arizona,F,"Winnik, Daniel",Arm,$0.600m,$37k,5
2009/10,Arizona,F,"Winnik, Daniel",Upper body,$0.600m,$15k,2
2009/10,Arizona,D,"Jovanovski, Ed",Lower body,$6.500m,$159k,2
2009/10,Arizona,D,"Jovanovski, Ed",Lower body,$6.500m,$634k,8
2009/10,Arizona,D,"Jovanovski, Ed",Upper body,$6.500m,$79k,1
2009/10,Arizona,D,"Michalek, Zbynek",Lower body,$1.250m,$137k,9
2009/10,Arizona,D,"Sauer, Kurt",Headache,$1.750m,"$1,729k",81
2009/10,Arizona,D,"Vandermeer, Jim",Upper body,$2.300m,$84k,3
2009/10,Boston,F,"Begin, Steve",Undisclosed,$0.850m,$52k,5
2009/10,Boston,F,"Bergeron, Patrice",Groin,$4.750m,$116k,2
2009/10,Boston,F,"Bergeron, Patrice",Thumb,$4.750m,$348k,6
2009/10,Boston,F,"Bitz, Byron",Back,$0.688m,$8k,1
2009/10,Boston,F,"Bitz, Byron",Groin,$0.688m,$25k,3
2009/10,Boston,F,"Bitz, Byron",Illness,$0.688m,$8k,1
2009/10,Boston,F,"Bitz, Byron",Undisclosed,$0.688m,$34k,4
2009/10,Boston,F,"Krejci, David",Flu,$3.750m,$91k,2
2009/10,Boston,F,"Krejci, David",Undisclosed,$3.750m,$46k,1
2009/10,Boston,F,"Lucic, Milan",Ankle,$0.850m,$187k,18
2009/10,Boston,F,"Lucic, Milan",Finger,$0.850m,$145k,14
2009/10,Boston,F,"Satan, Miroslav",Hand,$0.700m,$9k,1
2009/10,Boston,F,"Satan, Miroslav",Undisclosed,$0.700m,$17k,2
2009/10,Boston,F,"Savard, Marc",Concussion,$5.000m,"$1,098k",18
2009/10,Boston,F,"Savard, Marc",Foot,$5.000m,$915k,15
2009/10,Boston,F,"Savard, Marc",Knee,$5.000m,$488k,8
2009/10,Boston,F,"Sobotka, Vladimir",Head,$0.750m,$9k,1
2009/10,Boston,F,"Sturm, Marco",Leg,$3.500m,$256k,6
2009/10,Boston,F,"Thornton, Shawn",Undisclosed,$0.517m,$13k,2
2009/10,Boston,F,"Thornton, Shawn",Upper body,$0.517m,$19k,3
2009/10,Boston,D,"Boychuk, Johnny",Flu,$0.500m,$6k,1
2009/10,Boston,D,"Boychuk, Johnny",Orbital bone,$0.500m,$30k,5
2009/10,Boston,D,"Chara, Zdeno",Lower body,$7.500m,$91k,1
2009/10,Boston,D,"Ference, Andrew",Groin,$1.400m,$137k,8
2009/10,Boston,D,"Ference, Andrew",Groin,$1.400m,$154k,9
2009/10,Boston,D,"Ference, Andrew",Groin,$1.400m,$239k,14
2009/10,Boston,D,"Morris, Derek",Undisclosed,$3.300m,$121k,3
2009/10,Boston,D,"Seidenberg, Dennis",Wrist,$2.250m,$110k,4
2009/10,Boston,D,"Stuart, Mark",Chest,$1.300m,$222k,14
2009/10,Boston,D,"Stuart, Mark",Finger,$1.300m,$111k,7
2009/10,Boston,D,"Stuart, Mark",Hand,$1.300m,$79k,5
2009/10,Boston,D,"Wideman, Dennis",Knee,$3.938m,$48k,1
2009/10,Boston,D,"Wideman, Dennis",Shoulder,$3.938m,$144k,3
2009/10,Boston,D,"Wideman, Dennis",Undisclosed,$3.938m,$96k,2
2009/10,Boston,G,"Rask, Tuukka",Undisclosed,$3.200m,$117k,3
2009/10,Buffalo,F,"Connolly, Tim",Foot,$4.500m,$494k,9
2009/10,Buffalo,F,"Gaustad, Paul",Flu,$2.300m,$56k,2
2009/10,Buffalo,F,"Gaustad, Paul",Hand,$2.300m,$140k,5
2009/10,Buffalo,F,"Gaustad, Paul",Knee,$2.300m,$280k,10
2009/10,Buffalo,F,"Gerbe, Nathan",Groin,$0.850m,$104k,10
2009/10,Buffalo,F,"Grier, Mike",Groin,$1.200m,$73k,5
2009/10,Buffalo,F,"Hecht, Jochen",Upper body,$3.525m,$129k,3
2009/10,Buffalo,F,"Kaleta, Patrick",Flu,$0.523m,$6k,1
2009/10,Buffalo,F,"Kaleta, Patrick",Foot,$0.523m,$38k,6
2009/10,Buffalo,F,"Kaleta, Patrick",Head,$0.523m,$6k,1
2009/10,Buffalo,F,"Kaleta, Patrick",Leg,$0.523m,$38k,6
2009/10,Buffalo,F,"Kaleta, Patrick",Neck,$0.523m,$19k,3
2009/10,Buffalo,F,"Kaleta, Patrick",Thumb,$0.523m,$51k,8
2009/10,Buffalo,F,"Mair, Adam",Hip,$0.758m,$46k,5
2009/10,Buffalo,F,"Roy, Derek",Upper body,$4.000m,$98k,2
2009/10,Buffalo,F,"Stafford, Drew",Concussion,$1.900m,$23k,1
2009/10,Buffalo,F,"Stafford, Drew",Groin,$1.900m,$139k,6
2009/10,Buffalo,F,"Stafford, Drew",Hip,$1.900m,$23k,1
2009/10,Buffalo,F,"Stafford, Drew",Lower body,$1.900m,$23k,1
2009/10,Buffalo,F,"Torres, Raffi",Upper body,$2.250m,$165k,6
2009/10,Buffalo,F,"Vanek, Thomas",Abdominal,$7.143m,$261k,3
2009/10,Buffalo,F,"Vanek, Thomas",Lower body,$7.143m,$523k,6
2009/10,Buffalo,F,"Vanek, Thomas",Upper body,$7.143m,$174k,2
2009/10,Buffalo,D,"Butler, Chris",Ankle,$0.850m,$124k,12
2009/10,Buffalo,D,"Lydman, Toni",Groin,$2.875m,$386k,11
2009/10,Buffalo,D,"Lydman, Toni",Hand,$2.875m,$140k,4
2009/10,Buffalo,D,"Montador, Steve",Hip,$1.550m,$19k,1
2009/10,Buffalo,D,"Rivet, Craig",Flu,$3.500m,$85k,2
2009/10,Buffalo,D,"Rivet, Craig",Leg,$3.500m,$85k,2
2009/10,Buffalo,D,"Sekera, Andrej",Ribs,$1.000m,$85k,7
2009/10,Buffalo,G,"Lalime, Patrick",Groin,$1.000m,$49k,4
2009/10,Calgary,F,"Bourque, Rene",Shoulder,$1.350m,$66k,4
2009/10,Calgary,F,"Bourque, Rene",Undisclosed,$1.350m,$82k,5
2009/10,Calgary,F,"Boyd, Dustin",Flu,$0.650m,$8k,1
2009/10,Calgary,F,"Conroy, Craig",Foot,$1.050m,$64k,5
2009/10,Calgary,F,"Conroy, Craig",Knee,$1.050m,$26k,2
2009/10,Calgary,F,"Conroy, Craig",Knee,$1.050m,$154k,12
2009/10,Calgary,F,"Dawes, Nigel",Leg,$0.850m,$104k,10
2009/10,Calgary,F,"Glencross, Curtis",Knee,$1.200m,$176k,12
2009/10,Calgary,F,"Higgins, Chris",Foot,$2.250m,$384k,14
2009/10,Calgary,F,"Langkow, Daymond",Neck,$4.500m,$549k,10
2009/10,Calgary,F,"McGrattan, Brian",Shoulder,$0.550m,$34k,5
2009/10,Calgary,F,"McGrattan, Brian",Undisclosed,$0.550m,$34k,5
2009/10,Calgary,F,"Moss, David",Undisclosed,$1.300m,$206k,13
2009/10,Calgary,F,"Moss, David",Upper body,$1.300m,$63k,4
2009/10,Calgary,D,"Pardy, Adam",Undisclosed,$0.700m,$26k,3
2009/10,Calgary,D,"Pardy, Adam",Wrist,$0.700m,$9k,1
2009/10,Calgary,D,"Regehr, Robyn",Leg,$4.020m,$49k,1
2009/10,Calgary,D,"Sarich, Cory",Foot,$3.600m,$220k,5
2009/10,Calgary,D,"Sarich, Cory",Undisclosed,$3.600m,$834k,19
2009/10,Calgary,G,"Kiprusoff, Miikka",Illness,$5.833m,$71k,1
2009/10,Carolina,F,"Cole, Erik",Illness,$2.900m,$35k,1
2009/10,Carolina,F,"Cole, Erik",Leg,$2.900m,$354k,10
2009/10,Carolina,F,"Cole, Erik",Upper body,$2.900m,"$1,096k",31
2009/10,Carolina,F,"Jokinen, Jussi",Lower body,$1.700m,$21k,1
2009/10,Carolina,F,"LaRose, Chad",Lower body,$1.700m,$41k,2
2009/10,Carolina,F,"LaRose, Chad",Lower body,$1.700m,$352k,17
2009/10,Carolina,F,"LaRose, Chad",Undisclosed,$1.700m,$145k,7
2009/10,Carolina,F,"Ruutu, Tuomo",Lower body,$3.800m,$46k,1
2009/10,Carolina,F,"Ruutu, Tuomo",Shoulder,$3.800m,$417k,9
2009/10,Carolina,F,"Ruutu, Tuomo",Upper body,$3.800m,$695k,15
2009/10,Carolina,F,"Ryan, Michael",Concussion,$0.500m,$201k,33
2009/10,Carolina,F,"Samsonov, Sergei",Lower body,$2.533m,$93k,3
2009/10,Carolina,F,"Samsonov, Sergei",Upper body,$2.533m,$216k,7
2009/10,Carolina,F,"Staal, Eric",Upper body,$8.250m,"$1,006k",10
2009/10,Carolina,F,"Sutter, Brandon",Lower body,$1.225m,$15k,1
2009/10,Carolina,F,"Walker, Scott",Shoulder,$2.500m,$640k,21
2009/10,Carolina,F,"Walker, Scott",Upper body,$2.500m,$244k,8
2009/10,Carolina,F,"Whitney, Ray",Upper body,$3.550m,$87k,2
2009/10,Carolina,F,"Yelle, Stephane",Lower body,$0.550m,$7k,1
2009/10,Carolina,D,"Corvo, Joe",Leg,$2.625m,$896k,28
2009/10,Carolina,D,"Gleason, Tim",Facial,$2.750m,$101k,3
2009/10,Carolina,D,"Gleason, Tim",Foot,$2.750m,$436k,13
2009/10,Carolina,D,"Gleason, Tim",Upper body,$2.750m,$168k,5
2009/10,Carolina,D,"Picard, Alexandre",Upper body,$0.800m,$117k,12
2009/10,Carolina,D,"Pitkanen, Joni",Illness,$4.000m,$49k,1
2009/10,Carolina,D,"Pitkanen, Joni",Knee,$4.000m,$98k,2
2009/10,Carolina,D,"Pitkanen, Joni",Lower body,$4.000m,$98k,4
2009/10,Carolina,D,"Pitkanen, Joni",Lower body,$4.000m,$146k,3
2009/10,Carolina,D,"Pitkanen, Joni",Upper body,$4.000m,$49k,1
2009/10,Carolina,D,"Wallin, Niclas",Upper body,$1.725m,$168k,8
2009/10,Carolina,D,"Ward, Aaron",Lower body,$2.500m,$30k,1
2009/10,Carolina,G,"Legace, Manny",Eye,$0.500m,$24k,4
2009/10,Carolina,G,"Leighton, Michael",Groin,$0.600m,$29k,4
2009/10,Carolina,G,"Ward, Cam",Leg,$2.667m,$423k,13
2009/10,Carolina,G,"Ward, Cam",Upper body,$2.667m,$585k,18
2009/10,Chicago,F,"Bolland, Dave",Back,$3.375m,$41k,1
2009/10,Chicago,F,"Bolland, Dave",Back,$3.375m,"$1,688k",41
2009/10,Chicago,F,"Bolland, Dave",Flu,$3.375m,$41k,1
2009/10,Chicago,F,"Burish, Adam",Knee,$0.713m,$565k,65
2009/10,Chicago,F,"Eager, Ben",Lower body,$0.965m,$47k,4
2009/10,Chicago,F,"Eager, Ben",Upper body,$0.965m,$47k,4
2009/10,Chicago,F,"Eager, Ben",Upper body,$0.965m,$153k,13
2009/10,Chicago,F,"Hossa, Marian",Head,$5.275m,$64k,1
2009/10,Chicago,F,"Hossa, Marian",Lower body,$5.275m,$64k,1
2009/10,Chicago,F,"Hossa, Marian",Shoulder,$5.275m,"$1,415k",22
2009/10,Chicago,F,"Hossa, Marian",Upper body,$5.275m,$64k,1
2009/10,Chicago,F,"Kopecky, Tomas",Upper body,$1.200m,$15k,1
2009/10,Chicago,F,"Madden, John",Lower body,$2.750m,$67k,2
2009/10,Chicago,F,"Toews, Jonathan",Concussion,$2.800m,$205k,6
2009/10,Chicago,F,"Versteeg, Kris",Flu,$3.067m,$75k,2
2009/10,Chicago,F,"Versteeg, Kris",Upper body,$3.067m,$37k,1
2009/10,Chicago,D,"Barker, Cam",Lower body,$3.083m,$75k,2
2009/10,Chicago,D,"Barker, Cam",Upper body,$3.083m,$188k,5
2009/10,Chicago,D,"Campbell, Brian",Collarbone,$7.143m,"$1,220k",14
2009/10,Chicago,D,"Hendry, Jordan",Undisclosed,$0.625m,$8k,1
2009/10,Chicago,D,"Hjalmarsson, Niklas",Flu,$0.643m,$16k,2
2009/10,Chicago,D,"Hjalmarsson, Niklas",Head,$0.643m,$16k,2
2009/10,Chicago,D,"Hjalmarsson, Niklas",Illness,$0.643m,$8k,1
2009/10,Chicago,D,"Johnsson, Kim",Concussion,$4.850m,$887k,15
2009/10,Chicago,D,"Seabrook, Brent",Concussion,$3.500m,$85k,2
2009/10,Chicago,D,"Seabrook, Brent",Head,$3.500m,$85k,2
2009/10,Chicago,D,"Sopel, Brent",Foot,$2.333m,$57k,2
2009/10,Chicago,D,"Sopel, Brent",Lower body,$2.333m,$85k,3
2009/10,Chicago,D,"Sopel, Brent",Soreness,$2.333m,$28k,1
2009/10,Chicago,G,"Huet, Cristobal",Flu,$5.625m,$137k,2
2009/10,Chicago,G,"Niemi, Antti",Illness,$0.827m,$10k,1
2009/10,Colorado,F,"Duchene, Matt",Torso,$3.400m,$41k,1
2009/10,Colorado,F,"Galiardi, T.J.",Ankle,$0.875m,$96k,9
2009/10,Colorado,F,"Galiardi, T.J.",Torso,$0.875m,$21k,2
2009/10,Colorado,F,"Hejduk, Milan",Back,$3.900m,$95k,2
2009/10,Colorado,F,"Hejduk, Milan",Knee,$3.900m,$95k,2
2009/10,Colorado,F,"Hejduk, Milan",Knee,$3.900m,$143k,3
2009/10,Colorado,F,"Hejduk, Milan",Knee,$3.900m,$809k,17
2009/10,Colorado,F,"Hendricks, Matt",Ankle,$0.500m,$73k,12
2009/10,Colorado,F,"Hendricks, Matt",Groin,$0.500m,$30k,5
2009/10,Colorado,F,"Hendricks, Matt",Groin,$0.500m,$37k,6
2009/10,Colorado,F,"Jones, David",Chest,$0.838m,$41k,4
2009/10,Colorado,F,"Jones, David",Knee,$0.838m,$562k,55
2009/10,Colorado,F,"Koci, David",Hand,$0.575m,$147k,21
2009/10,Colorado,F,"McLeod, Cody",Eye,$1.033m,$76k,6
2009/10,Colorado,F,"McLeod, Cody",Leg,$1.033m,$25k,2
2009/10,Colorado,F,"Mueller, Peter",Concussion,$1.700m,$83k,4
2009/10,Colorado,F,"O'Reilly, Ryan",Foot,$0.900m,$11k,1
2009/10,Colorado,F,"Stoa, Ryan",Shoulder,$0.850m,$93k,9
2009/10,Colorado,F,"Svatos, Marek",Chest,$2.050m,$150k,6
2009/10,Colorado,F,"Svatos, Marek",Groin,$2.050m,$150k,12
2009/10,Colorado,F,"Tucker, Darcy",Concussion,$2.250m,$220k,8
2009/10,Colorado,F,"Tucker, Darcy",Illness,$2.250m,$27k,1
2009/10,Colorado,F,"Yelle, Stephane",Leg,$0.550m,$54k,8
2009/10,Colorado,F,"Yip, Brandon",Shoulder,$0.575m,$98k,14
2009/10,Colorado,D,"Clark, Brett",Cheek,$3.500m,$213k,5
2009/10,Colorado,D,"Cumiskey, Kyle",Concussion,$0.600m,$37k,5
2009/10,Colorado,D,"Cumiskey, Kyle",Foot,$0.600m,$117k,16
2009/10,Colorado,D,"Foote, Adam",Ankle,$3.000m,$256k,7
2009/10,Colorado,D,"Foote, Adam",Back,$3.000m,$37k,1
2009/10,Colorado,D,"Foote, Adam",Jaw,$3.000m,$183k,5
2009/10,Colorado,D,"Liles, John-Michael",Flu,$4.200m,$51k,1
2009/10,Colorado,D,"Liles, John-Michael",Shoulder,$4.200m,$256k,5
2009/10,Colorado,D,"Liles, John-Michael",Shoulder,$4.200m,$359k,7
2009/10,Colorado,D,"Preissing, Tom",Fatigue,$2.750m,$34k,1
2009/10,Colorado,D,"Preissing, Tom",Knee,$2.750m,$537k,16
2009/10,Colorado,D,"Salei, Ruslan",Back,$3.025m,"$2,066k",56
2009/10,Colorado,D,"Salei, Ruslan",Upper body,$3.025m,$184k,5
2009/10,Colorado,D,"Wilson, Ryan",Concussion,$0.552m,$34k,5
2009/10,Colorado,D,"Wilson, Ryan",Head,$0.552m,$13k,2
2009/10,Colorado,G,"Anderson, Craig",Neck,$1.813m,$88k,4
2009/10,Colorado,G,"Budaj, Peter",Flu,$1.250m,$61k,4
2009/10,Columbus,F,"Blunden, Mike",Upper body,$0.735m,$27k,3
2009/10,Columbus,F,"Boll, Jared",Hand,$0.743m,$82k,9
2009/10,Columbus,F,"Brassard, Derick",Hand,$1.247m,$15k,1
2009/10,Columbus,F,"Brassard, Derick",Hand,$1.247m,$30k,2
2009/10,Columbus,F,"Clark, Chris",Knee,$2.633m,$96k,3
2009/10,Columbus,F,"Dorsett, Derek",Arm,$0.563m,$7k,1
2009/10,Columbus,F,"Dorsett, Derek",Concussion,$0.563m,$62k,9
2009/10,Columbus,F,"Dorsett, Derek",Hand,$0.563m,$7k,1
2009/10,Columbus,F,"Dorsett, Derek",Hand,$0.563m,$103k,15
2009/10,Columbus,F,"Dorsett, Derek",Undisclosed,$0.563m,$7k,1
2009/10,Columbus,F,"Filatov, Nikita",Back,$2.196m,$27k,1
2009/10,Columbus,F,"Huselius, Kristian",Flu,$4.750m,$58k,1
2009/10,Columbus,F,"Huselius, Kristian",Hand,$4.750m,$116k,2
2009/10,Columbus,F,"Huselius, Kristian",Upper body,$4.750m,$58k,1
2009/10,Columbus,F,"Huselius, Kristian",Upper body,$4.750m,$232k,4
2009/10,Columbus,F,"MacKenzie, Derek",Knee,$0.550m,$101k,15
2009/10,Columbus,F,"Modin, Fredrik",Foot,$3.250m,$119k,3
2009/10,Columbus,F,"Modin, Fredrik",Foot,$3.250m,$238k,6
2009/10,Columbus,F,"Modin, Fredrik",Knee,$3.250m,"$1,229k",31
2009/10,Columbus,F,"Murray, Andrew",Head,$0.625m,$15k,2
2009/10,Columbus,F,"Murray, Andrew",Shoulder,$0.625m,$137k,18
2009/10,Columbus,F,"Nash, Rick",Lower body,$5.400m,$263k,4
2009/10,Columbus,F,"Nash, Rick",Neck,$5.400m,$132k,2
2009/10,Columbus,F,"Pahlsson, Sami",Elbow,$2.650m,$97k,3
2009/10,Columbus,F,"Picard, Alexandre",Lower body,$0.866m,$11k,1
2009/10,Columbus,F,"Torres, Raffi",Facial,$2.250m,$55k,2
2009/10,Columbus,F,"Torres, Raffi",Flu,$2.250m,$27k,1
2009/10,Columbus,F,"Voracek, Jakub",Upper body,$1.271m,$16k,1
2009/10,Columbus,D,"Commodore, Mike",Fatigue,$3.750m,$91k,2
2009/10,Columbus,D,"Commodore, Mike",Groin,$3.750m,$366k,8
2009/10,Columbus,D,"Commodore, Mike",Knee,$3.750m,$46k,1
2009/10,Columbus,D,"Commodore, Mike",Leg,$3.750m,$91k,2
2009/10,Columbus,D,"Commodore, Mike",Leg,$3.750m,$320k,7
2009/10,Columbus,D,"Commodore, Mike",Undisclosed,$3.750m,$229k,5
2009/10,Columbus,D,"Hejda, Jan",Knee,$2.000m,$195k,8
2009/10,Columbus,D,"Hejda, Jan",Knee,$2.000m,$293k,12
2009/10,Columbus,D,"Jurcina, Milan",Flu,$1.375m,$50k,3
2009/10,Columbus,D,"Klesla, Rostislav",Groin,$1.600m,"$1,093k",56
2009/10,Columbus,D,"Methot, Marc",Illness,$1.013m,$37k,3
2009/10,Columbus,D,"Methot, Marc",Upper body,$1.013m,$25k,2
2009/10,Columbus,D,"Methot, Marc",Upper body,$1.013m,$148k,12
2009/10,Columbus,D,"Russell, Kris",Arm,$0.744m,$18k,2
2009/10,Columbus,D,"Russell, Kris",Illness,$0.744m,$18k,2
2009/10,Columbus,D,"Russell, Kris",Lower body,$0.744m,$18k,2
2009/10,Columbus,D,"Stralman, Anton",Flu,$0.732m,$18k,2
2009/10,Columbus,D,"Stralman, Anton",Illness,$0.732m,$9k,1
2009/10,Columbus,D,"Stralman, Anton",Illness,$0.732m,$27k,3
2009/10,Columbus,D,"Stralman, Anton",Lower body,$0.732m,$9k,1
2009/10,Columbus,D,"Tyutin, Fedor",Leg,$2.844m,$35k,1
2009/10,Columbus,D,"Tyutin, Fedor",Upper body,$2.844m,$35k,1
2009/10,Dallas,F,"Barch, Krys",Flu,$0.575m,$7k,1
2009/10,Dallas,F,"Barch, Krys",Leg,$0.575m,$56k,8
2009/10,Dallas,F,"Brunnstrom, Fabian",Shoulder,$2.225m,$190k,7
2009/10,Dallas,F,"Lehtinen, Jere",Chest,$2.500m,$274k,9
2009/10,Dallas,F,"Lehtinen, Jere",Groin,$2.500m,$61k,4
2009/10,Dallas,F,"Lehtinen, Jere",Groin,$2.500m,$91k,3
2009/10,Dallas,F,"Lehtinen, Jere",Illness,$2.500m,$30k,1
2009/10,Dallas,F,"Lehtinen, Jere",Knee,$2.500m,$30k,1
2009/10,Dallas,F,"Lehtinen, Jere",Upper body,$2.500m,$183k,6
2009/10,Dallas,F,"Modano, Mike",Appendectomy,$3.450m,$379k,9
2009/10,Dallas,F,"Modano, Mike",Lower body,$3.450m,$42k,1
2009/10,Dallas,F,"Modano, Mike",Ribs,$3.450m,$547k,13
2009/10,Dallas,F,"Morrow, Brenden",Flu,$4.100m,$50k,1
2009/10,Dallas,F,"Morrow, Brenden",Foot,$4.100m,$50k,1
2009/10,Dallas,F,"Morrow, Brenden",Upper body,$4.100m,$200k,4
2009/10,Dallas,F,"Neal, James",Groin,$0.822m,$20k,2
2009/10,Dallas,F,"Ott, Steve",Appendectomy,$1.425m,$52k,3
2009/10,Dallas,F,"Ott, Steve",Oblique,$1.425m,$70k,4
2009/10,Dallas,F,"Peters, Warren",Orbital bone,$0.500m,$12k,2
2009/10,Dallas,F,"Ribeiro, Mike",Throat,$5.000m,$915k,15
2009/10,Dallas,F,"Richards, Brad",Groin,$7.800m,$190k,2
2009/10,Dallas,F,"Sutherby, Brian",Groin,$0.813m,$10k,1
2009/10,Dallas,F,"Sutherby, Brian",Groin,$0.813m,$79k,8
2009/10,Dallas,F,"Sutherby, Brian",Upper body,$0.813m,$109k,11
2009/10,Dallas,F,"Wandell, Tom",Knee,$0.600m,$234k,32
2009/10,Dallas,D,"Daley, Trevor",Shoulder,$2.300m,$140k,5
2009/10,Dallas,D,"Fistric, Mark",Concussion,$1.000m,$61k,5
2009/10,Dallas,D,"Fistric, Mark",Illness,$1.000m,$12k,1
2009/10,Dallas,D,"Fistric, Mark",Knee,$1.000m,$61k,5
2009/10,Dallas,D,"Grossman, Nicklas",Back,$0.975m,$48k,4
2009/10,Dallas,D,"Grossman, Nicklas",Lower body,$0.975m,$59k,5
2009/10,Dallas,D,"Grossman, Nicklas",Soreness,$0.975m,$24k,2
2009/10,Dallas,D,"Niskanen, Matt",Head,$0.850m,$10k,1
2009/10,Dallas,D,"Skrastins, Karlis",Finger,$1.375m,$34k,2
2009/10,Dallas,G,"Turco, Marty",Flu,$5.700m,$70k,1
2009/10,Dallas,G,"Turco, Marty",Flu,$5.700m,$139k,2
2009/10,Detroit,F,"Cleary, Dan",Groin,$2.800m,$68k,2
2009/10,Detroit,F,"Cleary, Dan",Groin,$2.800m,$137k,4
2009/10,Detroit,F,"Cleary, Dan",Shoulder,$2.800m,$410k,12
2009/10,Detroit,F,"Datsyuk, Pavel",Upper body,$6.700m,$163k,2
2009/10,Detroit,F,"Eaves, Patrick",Ankle,$0.500m,$6k,1
2009/10,Detroit,F,"Eaves, Patrick",Ankle,$0.500m,$18k,3
2009/10,Detroit,F,"Eaves, Patrick",Flu,$0.500m,$6k,1
2009/10,Detroit,F,"Eaves, Patrick",Foot,$0.500m,$6k,1
2009/10,Detroit,F,"Eaves, Patrick",Head,$0.500m,$18k,3
2009/10,Detroit,F,"Filppula, Valtteri",Groin,$3.000m,$37k,1
2009/10,Detroit,F,"Filppula, Valtteri",Wrist,$3.000m,$951k,26
2009/10,Detroit,F,"Franzen, Johan",Knee,$3.955m,"$2,653k",55
2009/10,Detroit,F,"Helm, Darren",Arm,$0.599m,$29k,4
2009/10,Detroit,F,"Helm, Darren",Wrist,$0.599m,$15k,2
2009/10,Detroit,F,"Holmstrom, Tomas",Foot,$2.250m,$357k,13
2009/10,Detroit,F,"Holmstrom, Tomas",Knee,$2.250m,$27k,1
2009/10,Detroit,F,"Maltby, Kirk",Flu,$0.883m,$32k,3
2009/10,Detroit,F,"Maltby, Kirk",Shoulder,$0.883m,$226k,21
2009/10,Detroit,F,"Maltby, Kirk",Thigh,$0.883m,$22k,2
2009/10,Detroit,F,"May, Brad",Eye,$0.500m,$12k,2
2009/10,Detroit,F,"May, Brad",Lower body,$0.500m,$6k,1
2009/10,Detroit,F,"Williams, Jason",Leg,$1.500m,$695k,38
2009/10,Detroit,F,"Zetterberg, Henrik",Shoulder,$6.083m,$593k,8
2009/10,Detroit,D,"Ericsson, Jonathan",Flu,$0.900m,$22k,2
2009/10,Detroit,D,"Ericsson, Jonathan",Knee,$0.900m,$132k,12
2009/10,Detroit,D,"Kronwall, Niklas",Knee,$3.000m,$146k,4
2009/10,Detroit,D,"Kronwall, Niklas",Knee,$3.000m,"$1,098k",30
2009/10,Detroit,D,"Lilja, Andreas",Concussion,$1.250m,$838k,55
2009/10,Detroit,D,"Rafalski, Brian",Back,$6.000m,$146k,2
2009/10,Detroit,D,"Rafalski, Brian",Flu,$6.000m,$73k,1
2009/10,Detroit,G,"Osgood, Chris",Flu,$1.417m,$52k,3
2009/10,Edmonton,F,"Brule, Gilbert",Ankle,$0.800m,$49k,5
